"GRNR","Lawinenname"
"01","Grubbachkarlawine"
"02","Klockerinlawine"
"03","Lawine auf Kehre 7"
"04","Kaindlkeeslawine"
"05","Lawine auf Kehre 6"
"06","Drossenlawine"
"07","Höhenburglawinen West"
"09","Grubbachlawine"
"10","Karlbachlawine"
"100","Alle Lawinen"
"11","Ebmattenlawine"
"12","Hausebenlawine"
"13","Beilwandlawine"
"14","Mitterbachlawine"
"15","Kitzsteinhornlawine"
"16","Baumgärtenlawine"
"17","Hochschoberlawine"
"18","Limberggrabenlawine"
"19","Hintere Bärrinnenlaw."
"20","Ostliftlawine"
"21","Mittlere Bärrinnenlaw."
"22","Osthanglawine KW-Limbg:"
"23","Seichenlawine"
"24","Kempsenlawine"
"25","Vordere-Bärrinne-Law."
"26","Geierkögerllawine"
"27","Königstuhllawine"
"28","Griesbachlawine"
"29","Lärchwandlawine"
"30","Grasbichlgrabenlawine"
"31","Schwarze-Wand-Lawine"
"32","Überfuhrlawine"
"33","Schrahnbachlawine"
"34","Wintergassenlawine"
"35","Zeferetbachlawine"
"36","Rauchlochgrabenlawine"
"37","Jägerrinne"
"38","Krapfgrabenlawine"
"39","Breitriesenlawine"
"41","Law.b.Grubbachfassung"
"43","Drei Wallnerhöhe"
"8","Wielingerlawine"
