"BW_Datum","BW_NXDTKW_Erg","BW_NXDTKW_Bew","BW_NXDTKW_Bemerkung","BW_FUZZY_Erg","BW_FUZZY_Bew","BW_FUZZY_Bemerkung","BW_NXDBOKU_Erg","BW_NXDBOKU_Bew","BW_NXDBOKU_Bemerkung","BW_DISKRIMINANZ_Erg","BW_DISKRIMINANZ_Bew","BW_DISKRIMINANZ_Bemerkung","BW_NEURONETZ_Erg","BW_NEURONETZ_Bew","BW_NEURONETZ_Bemerkung"
"1998-02-24 00:00:00",2,,,,,,,,,,,,,,
"1998-03-10 00:00:00",1,,,,,,,,,,,,,,
"1998-03-13 00:00:00",0,,,,,,,,,,,,,,
"1998-05-27 00:00:00",0,,,,,,,,,,,,,,
"1998-12-10 00:00:00",0,,,,,,,,,,,,,,
"1998-12-29 00:00:00",0,,,,,,,,,,,,,,
"1999-12-28 00:00:00",2,,,,,,,,,,,,,,
"2003-02-26 00:00:00",3,,,,,,,,,,,,,,
"2004-04-07 00:00:00",2,,,,,,,,,,,,,,
"2004-12-14 00:00:00",0,,,,,,,,,,,,,,
"2019-01-07 00:00:00",1,,,,,,,,,,,,,,
