"ID","Mittel_Wert"
1,68.25454545454545
2,69.58181818181818
3,73.8
4,74.78181818181818
5,76.09090909090909
6,77.32727272727273
7,80.25454545454545
8,83.45454545454545
9,84.69090909090909
10,84.32727272727273
11,81.8
12,83.32142857142857
13,83.24561403508773
14,84.42105263157895
15,84.71929824561404
16,82.31578947368421
17,84.89473684210526
18,87.56140350877193
19,90.73684210526316
20,85.66666666666667
21,90.75438596491227
22,91.10526315789474
23,91.42105263157895
24,93.35087719298245
25,94.66666666666667
26,93.92982456140351
27,97.08771929824562
28,101.8070175438596
29,102.3859649122807
30,101.8421052631579
31,102.4385964912281
32,100.8421052631579
33,102.2982456140351
34,103.3684210526316
35,102.7543859649123
36,104.9298245614035
37,105.5438596491228
38,105.6140350877193
39,108.9649122807018
40,110.3508771929825
41,111.4210526315789
42,111.5263157894737
43,113.1929824561404
44,112.6428571428571
45,113.8035714285714
46,113.7894736842105
47,114.4035087719298
48,115.6140350877193
49,116.9649122807018
50,117.4035087719298
51,118.0526315789474
52,120.0526315789474
53,121.1228070175439
54,120.2982456140351
55,123.5263157894737
56,121.6666666666667
57,121.6666666666667
58,126.3859649122807
59,127.4736842105263
60,127.0877192982456
61,125.6666666666667
62,130.3392857142857
63,129.0350877192982
64,130.140350877193
65,131.1052631578947
66,132.421052631579
67,132.7543859649123
68,132.8070175438596
69,133.4385964912281
70,132.9122807017544
71,132.8771929824561
72,133.4035087719298
73,134.8771929824561
74,134.8771929824561
75,132.0714285714286
76,135.9821428571429
77,135.3214285714286
78,141.2545454545455
79,140.9107142857143
80,143.0714285714286
81,140.8392857142857
82,137.75
83,141.6607142857143
84,142.375
85,143.75
86,142.5090909090909
87,143.7678571428571
88,141.5178571428571
89,145.0535714285714
90,144.3928571428571
91,144.5
92,142.7142857142857
93,143.25
94,142.3571428571429
95,142.2857142857143
96,140.5
97,142.0357142857143
98,141.8392857142857
99,141.4642857142857
100,140.9107142857143
101,140.875
102,138.1228070175439
103,144.625
104,141.7857142857143
105,143.7321428571429
106,143.5892857142857
107,145.6071428571429
108,145.0545454545455
109,146.3454545454545
110,144.7142857142857
111,139.5087719298245
112,141.8245614035088
113,138.140350877193
114,136.6491228070175
115,130.875
116,129.4545454545455
117,127.4814814814815
118,124.3454545454545
119,123.8727272727273
120,123.1481481481482
121,123.5098039215686
122,118.5686274509804
123,119.156862745098
124,119.5
125,112.7647058823529
126,111.9387755102041
127,111.3877551020408
128,107.9782608695652
129,113.9756097560976
130,110.725
131,107.0810810810811
132,103.4571428571429
133,110.3870967741936
134,121.6296296296296
135,117.2307692307692
136,121.0454545454545
137,116.9130434782609
138,115.3636363636364
139,109.5454545454545
140,105.6818181818182
141,105.6842105263158
142,109.9375
143,112.0666666666667
144,113.2857142857143
145,124.3
146,105.6
147,114.4
148,114.6666666666667
149,138.1666666666667
150,113.6666666666667
151,154.5
152,168
153,165
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,28
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,60
292,30
293,67
294,50.66666666666666
295,79
296,58.33333333333334
297,79
298,85
299,98
300,83.66666666666667
301,76.33333333333333
302,77
303,60
304,54.5
305,38.33333333333334
306,74
307,47.33333333333334
308,83.33333333333333
309,74.75
310,70.2
311,63.33333333333334
312,63.5
313,63
314,58.14285714285715
315,53.71428571428572
316,60.77777777777778
317,60
318,54.4
319,51
320,61.66666666666666
321,62.08333333333334
322,57.41666666666666
323,60.78571428571428
324,62.13333333333333
325,56.23529411764706
326,54.52631578947368
327,53.1
328,53.66666666666666
329,52.54545454545455
330,54
331,52.56
332,50.51851851851852
333,51.55555555555556
334,51.13333333333333
335,57.14285714285715
336,54.32432432432432
337,55
338,53.8974358974359
339,56.25
340,54.97560975609756
341,58.19047619047619
342,60.32558139534883
343,58.85106382978724
344,56.54166666666666
345,57.64583333333334
346,58.72916666666666
347,59.85416666666666
348,61.1875
349,61.6875
350,61.42857142857143
351,61.71428571428572
352,58.56
353,57.94230769230769
354,60.27777777777778
355,60.45454545454545
356,60.83333333333334
357,64.35185185185185
358,62.24074074074074
359,65.07407407407408
360,65.07272727272728
361,64.65454545454546
362,67.25454545454545
363,66.27272727272727
364,68.07272727272728
365,67.38181818181818
366,67.14285714285714
