"Bezeichnung_ID","Bezeichnung"
1,"Lawinengrad"
2,"Schneehöhe"
3,"Reserve"
4,"Niederschlag"
5,"Lufttemperatur"
6,"Schneetemperatur"
7,"Windrichtung"
8,"Windstärke"
9,"Reserve"
10,"Reserve"
11,"Reserve"
12,"Temperatur_max"
13,"Temperatur_min"
14,"Luftfeuchte"
15,"Einsinktiefe"
16,"Wetter"
17,"Wolken"
18,"Sonnenscheindauer"
19,"met_Tagesmittel"
20,"Temperaturmittel"
21,"Lawinenabgänge"
22,"Bewertung_Schichtprofil"
23,"Winterphase"
24,"Lufttemperatur_7h"
25,"Lufttemperatur_14h"
26,"Lufttemperatur_19h"
27,"Wetter_akt"
28,"Wetter_gestern"
29,"Neuschnee"
